pregen	mscoco_R^2	mscoco_R	mscoco_p	flickr30k_R^2	flickr30k_R	flickr30k_p	flickr8k_R^2	flickr8k_R	flickr8k_p	all_R^2	all_R	all_p
sum_join_normcount_none	5.608952579969374e-10	-2.3683227356020068e-05	0.9997482433426511	1.2246571630624355e-12	1.1066422922798656e-06	0.9999882360638443	2.8499746204771817e-12	1.688186784830749e-06	0.999982054393074	0.031485871524021256	0.17744258655695158	3.371699844222902e-05
sum_join_normcount_filter0	0.014484234942729522	-0.12035046714794888	0.10755583464966777	0.008738155742368126	-0.09347810301010674	0.21198054737467054	0.011829495390514089	-0.1087634837181767	0.146122618760528	0.010890245636758491	0.10435633970563787	0.015265013683141346
sum_join_normcount_prefix0	0.08104817503461163	0.2846896117434067	0.00010734395739588428	0.06004670440552872	0.24504429070176012	0.0009151060566971336	0.05344083433601736	0.23117273700853516	0.0017944138281151582	0.10650713228819317	0.3263543048409093	7.238641820424523e-15
mean_sum_prob_none	0.580097482433841	0.7616413082507021	2.2534853178809852e-35	0.44285287775061777	0.6654719210835404	2.1944512462700196e-24	0.6698218673614478	0.8184264581264756	1.0728978298215371e-44	0.5306957642883097	0.728488685079123	1.9700146791137934e-90
mean_sum_prob_filter0	0.7132990122025009	0.8445703121721133	3.6284207920307346e-50	0.5899454728278656	0.7680790798009445	2.703685678207505e-36	0.7125170703233791	0.8441072623330397	4.626236427480572e-50	0.6147573270611262	0.7840646191871727	1.5997162127199704e-113
mean_sum_prob_prefix0	0.003793620726001514	0.06159237555088709	0.4114345858730951	0.13143590602320102	0.3625409025519755	5.694084102375033e-07	0.0566861629340452	0.23808856111549165	0.0012888571829136812	0.11447201259476292	0.3383371286080836	6.28637286704794e-16
mean_sum_pplx_none	0.9599177197621479	-0.9797539077554873	2.8032885019997294e-126	0.9102498667333792	-0.9540701581819752	4.1345314615472407e-95	0.9397022141711897	-0.9693823880034079	1.7230257414873235e-110	0.7695417062772226	-0.87723526278714	1.349989966049396e-173
mean_sum_count_none	0.950007069965093	-0.9746830612897164	9.772246391737037e-118	0.6194489285800471	-0.7870507789082272	3.430835109800892e-39	0.24380510874231268	-0.4937662490919288	1.8785055025477503e-12	0.20909683469859786	-0.4572710735423769	2.9400452044608664e-29
mean_sum_count_filter0	0.9728041356973955	-0.9863083370312732	2.836579779758629e-141	0.9126070522675465	-0.9553046908016031	3.864968790450143e-96	0.9165856993926096	-0.9573848230427562	6.098456046962588e-98	0.5923702148526624	-0.7696559067873529	6.471852533214235e-107
mean_sum_count_prefix0	0.953778024599494	0.9766155971514555	9.073947891773399e-121	0.8693534552554825	0.9323912565310136	1.376815287294649e-80	0.8990791794512096	0.9481978588096525	1.4231133993518069e-90	0.8873078842358887	0.9419702140916605	3.3232894142407006e-257
mean_sum_normcount_filter0	0.9697067955607365	-0.9847369169279359	4.1922651536867842e-137	0.969660615096479	-0.9847134685259865	4.8010634388786155e-137	0.9843219111621129	-0.9921299870289744	1.4474409991034623e-162	0.8000332413163889	-0.8944457732676637	3.4853179944984464e-190
mean_sum_normcount_prefix0	0.9515225998082525	0.9754601989872537	6.306483545279415e-119	0.9357360313915329	0.9673344981915681	5.0059798672284e-108	0.9543458921892255	0.9769062862881094	3.018974151766574e-121	0.9171984352954512	0.9577047746019914	3.216704403962937e-293
mean_mean_prob_none	0.5800974701776627	0.7616413002048029	2.2534911952282776e-35	0.4428528777506176	0.6654719210835403	2.194451246270098e-24	0.6698218673614481	0.8184264581264759	1.0728978298214406e-44	0.5306957446268097	0.728488671584404	1.9700369170611335e-90
mean_mean_prob_filter0	0.7132989915475857	0.8445702999440519	3.628444108766192e-50	0.5899454728278655	0.7680790798009444	2.703685678207603e-36	0.7125170703233793	0.8441072623330398	4.626236427480333e-50	0.6147573225229431	0.7840646162931618	1.599721287837233e-113
mean_mean_prob_prefix0	0.003697231475434826	0.06080486391264128	0.4174517413654858	0.13143590602320093	0.3625409025519754	5.694084102375033e-07	0.056686162934045305	0.23808856111549187	0.001288857182913652	0.11445007554906583	0.33830470813907665	6.32899207274363e-16
mean_mean_pplx_none	0.959933694838694	-0.9797620603180621	2.7055529727951835e-126	0.9102498667333789	-0.954070158181975	4.134531461548095e-95	0.9397022141711902	-0.9693823880034081	1.7230257414862114e-110	0.7694024626869573	-0.8771558941755777	1.5883070951694942e-173
mean_mean_count_none	0.9519924293349861	-0.9757009938167461	2.650011273010161e-119	0.6194489285800476	-0.7870507789082275	3.43083510980049e-39	0.2438051087423128	-0.4937662490919289	1.8785055025477256e-12	0.20900740342547758	-0.4571732750560531	3.031478974572158e-29
mean_mean_count_filter0	0.9730330299398682	-0.9864243660513806	1.3367527323400831e-141	0.9126070522675458	-0.9553046908016027	3.864968790452658e-96	0.9165856993926098	-0.9573848230427563	6.09845604696114e-98	0.5918878739686239	-0.7693424945813301	8.899381443525448e-107
mean_mean_count_prefix0	0.9536513173801281	0.9765507244276296	1.1578071501898987e-120	0.8693534552554822	0.9323912565310135	1.3768152872948316e-80	0.8990791794512094	0.9481978588096523	1.4231133993520508e-90	0.8873577794247764	0.9419966982026935	2.9499822582253536e-257
mean_mean_normcount_filter0	0.9699828604202092	-0.9848770788378666	1.8558016396155852e-137	0.9696606150964788	-0.9847134685259864	4.801063438881693e-137	0.9843219111621122	-0.992129987028974	1.4474409991089076e-162	0.7990158257883974	-0.8938768515787828	1.3658662580535383e-189
mean_mean_normcount_prefix0	0.9513948976012848	0.9753947393754412	7.970806543019615e-119	0.9357360313915332	0.9673344981915682	5.005979867226859e-108	0.9543458921892257	0.9769062862881095	3.0189741517653077e-121	0.9173905606535604	0.9578050744559461	1.721789616877808e-293
mean_median_prob_none	0.547040635579997	0.7396219545010796	1.969732666651905e-32	0.21485834191252803	0.4635281457608891	5.6494306101664544e-11	0.5919916392653125	0.769409929273929	1.7292644350189174e-36	0.49860076876765996	0.706116682119648	1.086603603512354e-82
mean_median_prob_filter0	0.6006363382511437	0.7750073149662161	2.55284821753129e-37	0.4617574294038563	0.679527357362348	9.958415903196833e-26	0.5961571457292533	0.7721121328727151	6.913915273543336e-37	0.4462387459236905	0.6680110372768481	4.616801466775008e-71
mean_median_prob_prefix0	0.011741144495767918	-0.10835656184914653	0.14764655853406702	0.03264779780248429	0.1806870161425117	0.015211882861754561	0.0066930680113969	0.08181117290075299	0.2749225255239033	0.07556106047301135	0.2748837217315921	8.111557463432121e-11
mean_median_pplx_none	0.9621549083275244	-0.9808949527485216	1.6875386491032968e-128	0.9426300769260229	-0.9708913826613268	2.0497577797009345e-112	0.9633435956607028	-0.9815006855120901	9.850890296396874e-130	0.8265373449151667	-0.9091409928691846	8.393796745893441e-207
